	smiles	torsion_atom_ids	angles	energy	method	basis	program	molid
35	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2[c:4](c(c(c(c2[H])[H])[H])[H])[H])[H])[H]	(6, 10, 11, 8)	[-150, -165, -135, -120, 180, -105, 165, -90, 150, -75, 135, -60, 120, -45, 105, -30, 90, -15, 75, 0, 60, 15, 45, 30]	[-463.381274575051, -463.3796995906155, -463.38143283059753, -463.38023758644704, -463.37838955030156, -463.378596681335, -463.37969937238717, -463.3778583331557, -463.38127451785783, -463.3785882047752, -463.3814327612961, -463.38021951557204, -463.38023753641954, -463.3814305876723, -463.3785956031193, -463.38127213604037, -463.3778585454547, -463.37970716240403, -463.3785877135045, -463.3783880780204, -463.38022000344773, -463.3797073307346, -463.3814305466143, -463.3812724267051]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_35
36	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[C:4](N(N=C2[H])[H])[H])[H])[H]	(3, 5, 8, 6)	[30, 15, 45, 0, 60, -15, 75, -30, 90, -45, 105, -60, 120, -75, 135, -90, 150, -105, 165, -120, 180, -165, -135, -150]	[-457.3333839389267, -457.3332995065087, -457.33271941970725, -457.333075681028, -457.33137857241024, -457.3332998206197, -457.3299487562716, -457.3333839880767, -457.32928953205214, -457.3327196287793, -457.32991134194566, -457.3313787035406, -457.3313550070694, -457.3299488011025, -457.3327102723988, -457.32928985479936, -457.3333819768481, -457.32991141819383, -457.33329991490655, -457.33135461943573, -457.3330755861568, -457.3332999525335, -457.3327103887038, -457.33338248562563]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_36
37	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]OC(=C2[H])[H])[H])[H]	(3, 5, 8, 9)	[-30, -45, -15, -60, 0, -75, 15, -90, 30, -105, 45, -120, 60, -135, 75, -150, 90, -165, 105, 120, 180, 135, 165, 150]	[-477.1753893532848, -477.17421249998074, -477.175829628884, -477.1724603941446, -477.1758766589476, -477.17080551215474, -477.17582965605135, -477.17006859474895, -477.1753896737368, -477.17073248533677, -477.17421109340023, -477.1724120918208, -477.1724606729627, -477.174199138061, -477.17080640217733, -477.1753912013897, -477.1700685837377, -477.17582975063095, -477.17073299829553, -477.1724123006901, -477.17587694128895, -477.17420047808764, -477.1758295940688, -477.1753918436277]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_37
38	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[C:4](ON=C2[H])[H])[H])[H]	(3, 5, 8, 6)	[-150, -165, -135, -120, 180, -105, 165, -90, 150, -75, 135, -60, 120, -45, 105, -30, 90, -15, 75, 0, 60, 15, 45, 30]	[-477.173535614348, -477.17343617995624, -477.1729655283161, -477.1717837810416, -477.17323461550114, -477.1705266691874, -477.17343630777435, -477.16999782062095, -477.1735354899848, -477.17056588858327, -477.1729665123366, -477.17180253018716, -477.1717834927605, -477.1729672960596, -477.17052680383017, -477.1735347030641, -477.16999780047183, -477.1734385677965, -477.17056589018773, -477.1732335340783, -477.1718021565676, -477.17343839392373, -477.17296728286254, -477.1735345562743]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_38
39	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[C:4](=C(N=C2[H])[H])[H])[H])[H]	(3, 5, 10, 7)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-457.3409069833519, -457.3419222379391, -457.3419224997213, -457.3430324212078, -457.343032709433, -457.34316981952037, -457.34316979291907, -457.34246315044413, -457.3424631373134, -457.34151059657296, -457.34151082944453, -457.3410553119774, -457.3410555625688, -457.34152356082046, -457.3415234858229, -457.3424720289864, -457.34247239709157, -457.34317369198953, -457.34317330892753, -457.34303406277405, -457.3430335960381, -457.34195283605777, -457.3419531446775, -457.34089304951004]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_39
40	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[c:4]3c(c(c(c(n3)[H])[H])[H])C(=O)C(=C2[H])[H])[H])[H]	(5, 9, 15, 10)	[120, 105, 135, 90, 150, 75, 165, 60, 180, -165, 45, -150, 30, -135, 15, -120, 0, -105, -15, -90, -30, -75, -45, -60]	[-724.3735361520904, -724.3734046701483, -724.3726857903777, -724.3732215022497, -724.3700997665798, -724.3734334839161, -724.365381074883, -724.3735005077965, -724.3595990549939, -724.3653781738249, -724.3724012679842, -724.3700976391781, -724.3695628722322, -724.3726848546034, -724.3650023859346, -724.3735351620415, -724.3596327143001, -724.3734043791676, -724.3650006670166, -724.373221849053, -724.3695624869324, -724.3734335556082, -724.3724016776093, -724.3735004777752]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_40
41	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]C3=C(C(=O)N2[H])N(N=C3[H])[H])[H])[H]	(3, 5, 7, 12)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-718.3507248390658, -718.3496569318689, -718.3506940592285, -718.3476379821611, -718.3503816864455, -718.3506936752906, -718.3455160847053, -718.3507216132544, -718.3446253100528, -718.3496559352471, -718.3455575910235, -718.347637873533, -718.3476060154716, -718.3455157334857, -718.3496010911464, -718.3446255713072, -718.3507035282613, -718.3455555753285, -718.3507045212269, -718.3476062935954, -718.3503811953698, -718.3496013972407, -718.3507042834351, -718.3507030453834]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_41
42	[H]c1c(c(c2c(c1[H])[N:4]=[C:3](N2[H])[c:2]3[c:1](c(c4c(c3[H])N(C(=N4)[H])[H])[H])[H])[H])[H]	(2, 7, 13, 15)	[30, 15, 45, 0, 60, -15, 75, -30, 90, -45, 105, -60, 120, -75, 135, -90, 150, -105, 165, -120, 180, -165, -135, -150]	[-758.672726123938, -758.6731916570026, -758.6712960403809, -758.6731434322191, -758.6691780235954, -758.6731931546475, -758.6671702325224, -758.6727224425962, -758.6664590501018, -758.6712959642603, -758.6677152273065, -758.6691781958468, -758.6701962730309, -758.6671703159494, -758.6726941097804, -758.666459631397, -758.6744393110191, -758.6677135244184, -758.675173673629, -758.6701944995898, -758.6752537983728, -758.6751741286458, -758.6726941398853, -758.6744381817356]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_42
43	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2[n:4]c(c(c(n2)[H])[H])[H])[H])[H]	(3, 8, 9, 10)	[-150, -165, -135, -120, 180, -105, 165, -90, 150, -75, 135, -60, 120, -45, 105, -30, 90, -15, 75, 0, 60, 15, 45, 30]	[-495.4663069363138, -495.4677948640267, -495.46372450385473, -495.4604186251562, -495.4682534966141, -495.45739258962953, -495.4677957829292, -495.45612280065905, -495.466307110195, -495.45737198186066, -495.4637248206633, -495.4603607394393, -495.46041931273464, -495.4636786358598, -495.4573920632812, -495.4662941374697, -495.456123129886, -495.4677949230365, -495.45737167298364, -495.4682534877395, -495.46035980490126, -495.4677949387759, -495.46367804288127, -495.4662940978466]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_43
44	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(C(=N[O:4]2)[H])[H])[H])[H]	(3, 5, 8, 10)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-477.17858011183597, -477.1783790096934, -477.17837901737573, -477.1776110248466, -477.17761107055054, -477.17607081706825, -477.17607080493144, -477.1740459130182, -477.1740459319795, -477.172226821719, -477.17222681942314, -477.17148454592274, -477.1714845295927, -477.172220486188, -477.1722204800106, -477.17401063441696, -477.1740107165237, -477.17602379043217, -477.1760245285708, -477.17757874198406, -477.17757874668155, -477.17837086111706, -477.17837121511786, -477.1785756567964]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_44
45	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(N(C(=[C:4]2[H])[H])[H])[H])[H])[H]	(3, 5, 9, 6)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-441.2992403192526, -441.29847861667184, -441.2991539490599, -441.2969712077343, -441.2988739352476, -441.2991527322452, -441.2953565523798, -441.2992398681841, -441.2945991495815, -441.2984788503831, -441.29531126263896, -441.29697116713083, -441.29692550866014, -441.29535714862135, -441.29846508841274, -441.29459928699345, -441.2992409444425, -441.2953111869984, -441.2991528034641, -441.2969260131424, -441.29887484447164, -441.29846505592394, -441.299152800786, -441.2992410463036]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_45
46	[H]c1c(c([n:1][c:2](c1[H])[C:3]2=C(N(C(=O)C(=[C:4]2[H])[H])[H])[H])[H])[H]	(10, 4, 8, 5)	[-60, 120, -75, -45, 105, 135, -90, -30, 90, 150, -105, -15, 75, 165, -120, 0, 60, 180, -165, -135, 15, 45, -150, 30]	[-570.7113751809666, -570.7117300140559, -570.7089141261794, -570.7138283366767, -570.7090197432254, -570.7145364315854, -570.7078408183402, -570.7153563534224, -570.7078404714647, -570.7164647241775, -570.709018756358, -570.7157239721453, -570.7089144817528, -570.7172397359474, -570.7117270656468, -570.7156014269862, -570.7113741812542, -570.7173335922455, -570.7172396526477, -570.7145366155696, -570.715725261581, -570.7138289343663, -570.7164635684313, -570.7153555435826]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_46
47	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(N=C([O:4]2)[H])[H])[H])[H]	(3, 5, 8, 10)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-477.21427055781766, -477.21403044983043, -477.21403044427285, -477.2131779329556, -477.2131779315642, -477.2115896603522, -477.2115896616419, -477.209599435187, -477.2095994356361, -477.2078464346501, -477.20784644213103, -477.20712609762734, -477.2071260918246, -477.20787151105, -477.2078715163076, -477.20968430668927, -477.20968431588994, -477.2116878849152, -477.21168787914405, -477.213238878825, -477.2132388824259, -477.2140450965342, -477.21404511316814, -477.214266707565]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_47
48	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2c(nc3c([n:4]2)c(nc(n3)[H])[H])[H])[H])[H]	(3, 8, 10, 15)	[120, 105, 135, 90, 150, 75, 165, 60, 180, -165, 45, -150, 30, -135, 15, -120, 0, -105, -15, -90, -30, -75, -45, -60]	[-681.2054536705474, -681.2030863709972, -681.2077972624752, -681.2021284267142, -681.2090884349981, -681.2031880934893, -681.2091870757291, -681.2054925736637, -681.2089469595752, -681.2091867753087, -681.2077666540396, -681.2090896634069, -681.2090697671047, -681.2077970818831, -681.2091947195722, -681.2054539427521, -681.2089482699957, -681.2030872175847, -681.209194738883, -681.2021282230878, -681.2090691759877, -681.2031890598524, -681.2077675027393, -681.2054930134922]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_48
49	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(OC(=[C:4]2[H])[H])[H])[H])[H]	(3, 5, 9, 6)	[-30, -45, -15, -60, 0, -75, 15, -90, 30, -105, 45, -120, 60, -135, 75, -150, 90, -165, 105, 120, 180, 135, 165, 150]	[-461.157843685299, -461.1571609768159, -461.15775058182004, -461.15580202540883, -461.15750944506374, -461.1543883269166, -461.157750226591, -461.1537861677117, -461.1578437062312, -461.15443941063165, -461.1571608004496, -461.15584122975065, -461.15580145948735, -461.157167923534, -461.1543884282262, -461.15784061185855, -461.15378593906377, -461.1577540358076, -461.15443967170285, -461.1558406661206, -461.15750846918513, -461.1571674086834, -461.1577540540016, -461.1578409251989]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_49
50	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N+](C(=O)C3=C(N=C(N3[N:4]2[H])[H])[H])[H])[H])[H]	(3, 5, 8, 12)	[-60, -75, -45, -90, -30, -105, -15, -120, 0, -135, 15, -150, 30, -165, 45, 60, 180, 75, 165, 90, 150, 105, 135, 120]	[-718.6703425034935, -718.6681312796587, -718.671999041675, -718.6669841148962, -718.6721326253456, -718.668065943406, -718.670580327659, -718.6703203179608, -718.6687766521965, -718.671994113245, -718.6705795367818, -718.6721317984982, -718.6721329979777, -718.6705507970826, -718.6719987113735, -718.6703419620562, -718.668776857258, -718.6681307100533, -718.6705508419709, -718.666984368798, -718.6721322827357, -718.6680653961871, -718.6719943183226, -718.6703189652208]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_50
51	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[c:4]3c(c(c(c(c3C(=O)C(=C2[H])[H])[H])[H])[H])[H])[H])[H]	(6, 10, 15, 11)	[-120, -135, -105, -150, -90, -165, -75, -60, 180, -45, 165, -30, 150, -15, 135, 0, 120, 15, 105, 30, 90, 45, 75, 60]	[-708.3284599786945, -708.3272001069402, -708.3288247535309, -708.3243507272047, -708.3288680680914, -708.3193637165684, -708.3288203684056, -708.3283618663248, -708.3126820237281, -708.3268400073312, -708.3193624491215, -708.323703318209, -708.3243509375753, -708.3187533494098, -708.3272001228094, -708.3123528315009, -708.3284577487703, -708.3187511052871, -708.3288257596823, -708.3237003347358, -708.3288683607806, -708.3268394894587, -708.3288194468633, -708.328361706729]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_51
52	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=NOC(=[N:4]2)[H])[H])[H]	(3, 5, 7, 8)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-493.233818153809, -493.23342685997267, -493.23342687714205, -493.23224200523066, -493.2322419891491, -493.2302680845027, -493.23026808208635, -493.2278105960994, -493.2278105918003, -493.225569601295, -493.2255696006434, -493.2245744114498, -493.2245744153089, -493.22548837421056, -493.22548837542706, -493.22773525574786, -493.22773525932, -493.2302418140743, -493.23024182307967, -493.23225077105036, -493.23225076993737, -493.23343217528827, -493.2334326618268, -493.2338123116738]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_52
53	[H]c1[c:1]([c:2](c(nc1[H])[H])[c:3]2c(c(nc([n:4]2)[H])[H])[H])[H]	(1, 7, 8, 11)	[-120, 60, -135, -105, 45, 75, -150, -90, 30, 90, -165, -75, 15, 105, -60, 0, 120, 180, -45, -15, 135, 165, -30, 150]	[-511.5006764034315, -511.50122878795077, -511.5028243750131, -511.49852147849026, -511.50360654267683, -511.49884559096193, -511.5040613563808, -511.49770744011335, -511.505086076819, -511.4977072601149, -511.50421402602177, -511.4988454527276, -511.50543026053265, -511.49852016445686, -511.5012265076821, -511.50531054110127, -511.5006737044563, -511.50403157335353, -511.5036078109517, -511.5054300368185, -511.5028245609456, -511.5042145773022, -511.5050856265299, -511.5040611282048]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_53
54	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[c:4]3c(c(c(c(c3C(=C2[H])[H])[H])[H])[H])[H])[H])[H]	(6, 10, 14, 11)	[-120, -135, -105, -150, -90, -165, -75, -60, 180, -45, 165, -30, 150, -15, 135, 0, 120, 15, 105, 30, 90, 45, 75, 60]	[-594.9670293120521, -594.9674246285426, -594.9660177776925, -594.9666523873581, -594.9653268113976, -594.9643829381265, -594.9659821507316, -594.9670412370643, -594.9606552112101, -594.9674138509878, -594.9643817706525, -594.9665335432566, -594.9666515470316, -594.9642400683289, -594.9674244694951, -594.9606835414442, -594.9670230037418, -594.964239025946, -594.9660179255968, -594.9665346435557, -594.9653266319383, -594.967414378576, -594.965980636055, -594.9670417416457]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_54
55	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(C(=C([N:4]2[H])[H])[H])[H])[H])[H]	(3, 5, 9, 10)	[-30, -45, -15, -60, 0, -75, 15, -90, 30, -105, 45, -120, 60, -135, 75, -150, 90, -165, 105, 120, 180, 135, 165, 150]	[-441.3012049804487, -441.3002019265961, -441.3011544828413, -441.29837895140383, -441.3007717673414, -441.29654647428197, -441.30115471088965, -441.2957559368244, -441.30120328141544, -441.29658030503026, -441.3002014942332, -441.298415758639, -441.2983776227967, -441.3002077265982, -441.2965447590849, -441.30120281775237, -441.29575598151445, -441.3011563781748, -441.29658030109454, -441.2984157430115, -441.30077163660553, -441.30020794396836, -441.3011563804017, -441.30120312166224]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_55
56	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(C(=C([S:4]2)[H])[H])[H])[H])[H]	(3, 5, 9, 10)	[-60, -75, -45, -90, -30, -105, -15, -120, 0, -135, 15, -150, 30, -165, 45, 60, 180, 75, 165, 90, 150, 105, 135, 120]	[-784.1002625630355, -784.0987502128869, -784.1016330778928, -784.0980637994682, -784.1022208202404, -784.098741779743, -784.1020164035247, -784.1002447613314, -784.1017303538634, -784.1016197134687, -784.1020164873316, -784.1022195167086, -784.1022205546514, -784.1020155947101, -784.1016330745533, -784.1002613951132, -784.1017302034966, -784.0987502980931, -784.1020148526354, -784.0980650521192, -784.1022194729213, -784.0987421351546, -784.1016199540285, -784.1002442529552]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_56
57	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=Nc3c(c(c(c(c3[O:4]2)[H])[H])[H])[H])[H])[H]	(5, 9, 12, 14)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-630.8944370399516, -630.8939047546951, -630.8939047522583, -630.8923340927948, -630.8923340958049, -630.8898278283706, -630.8898278245387, -630.8868384102881, -630.8868384053221, -630.8842693988003, -630.8842694334062, -630.8832262291137, -630.8832262084276, -630.8842621430487, -630.8842621339686, -630.8867861325658, -630.8867861263852, -630.8897391531051, -630.8897391530331, -630.8922625983683, -630.8922624645238, -630.8938800244697, -630.8938786193182, -630.894428905772]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_57
58	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[C:4](=C(C(=C(C2=O)[H])[H])[H])[H])[H])[H]	(3, 5, 11, 9)	[30, 15, 45, 0, 60, -15, 75, -30, 90, -45, 105, -60, 120, -75, 135, -90, 150, -105, 165, -120, 180, -165, -135, -150]	[-554.659537099539, -554.6558081769211, -554.661275780266, -554.6518589609419, -554.661365262328, -554.6558091225991, -554.6608019289433, -554.6595296373685, -554.6604993506925, -554.6612757518943, -554.6608207918844, -554.6613654168815, -554.661386168762, -554.6608025025906, -554.6612271427217, -554.6604994863599, -554.6593365427453, -554.6608209866432, -554.6554246682858, -554.6613860659285, -554.6518600566768, -554.6554251002377, -554.6612257445628, -554.6593362633358]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_58
59	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=NC(=C([S:4]2)[H])[H])[H])[H]	(3, 5, 8, 10)	[-15, -30, 0, -45, 15, -60, 30, -75, 45, -90, 60, -105, 75, -120, 90, -135, 105, -150, 120, -165, 135, 150, 180, 165]	[-800.1527662155501, -800.1520853787741, -800.1529223600508, -800.1505924387263, -800.1527652303414, -800.1483960801039, -800.1520854058108, -800.1461926428556, -800.1505922072577, -800.1452045728125, -800.1483961113371, -800.1462326708297, -800.1461937548157, -800.1484396708514, -800.145204527242, -800.1506072793652, -800.1462326165101, -800.152083106354, -800.1484399010744, -800.1527638856229, -800.1506094808582, -800.1520830033065, -800.152923360499, -800.1527638969326]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_59
60	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]C(=O)N(c3c2c(c(c(c3[H])[H])[H])[H])[H])[H])[H]	(5, 9, 12, 14)	[90, 75, 105, 60, 120, 45, 135, 30, 150, 15, 165, 0, 180, -165, -15, -150, -30, -135, -45, -120, -60, -105, -75, -90]	[-724.389586602147, -724.3903362498057, -724.3903367278483, -724.3917914996166, -724.3919591708822, -724.3927636440487, -724.3928019307959, -724.3921595327373, -724.3916474481271, -724.3894003546782, -724.388246061669, -724.3847811319969, -724.3834857342262, -724.3882451271921, -724.3894003611471, -724.3916465097627, -724.3921587374399, -724.3928016955085, -724.3927612392218, -724.3919592150473, -724.391792199528, -724.3903371618871, -724.3903350718688, -724.3895870522518]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_60
61	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[C:4](=Nc3c(c(c(c(c3C2=O)[H])[H])[H])[H])[H])[H])[H]	(7, 11, 15, 12)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-724.3880476841173, -724.3901400791584, -724.3838937705312, -724.3904883048866, -724.379977463617, -724.3838946269909, -724.3900475170511, -724.3880476338488, -724.3897732378618, -724.3901402117033, -724.3900296233332, -724.3904885857372, -724.3904727948559, -724.3900474880029, -724.3901995802012, -724.3897734044817, -724.3882416547857, -724.390029201434, -724.384277731625, -724.3904723721947, -724.3799769372677, -724.3902002085663, -724.3842760579934, -724.3882417224146]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_61
62	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]N(C(=C2[H])[H])[H])[H])[H]	(3, 5, 8, 9)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-457.3356153812745, -457.33550117916144, -457.3355011834748, -457.33490758979593, -457.3349075940256, -457.33350202622853, -457.3335019774822, -457.3314937675047, -457.33149376020464, -457.3296220770885, -457.32962208052595, -457.32887075855166, -457.32887075794605, -457.32969412439024, -457.32969438635473, -457.3315549745948, -457.33155528975743, -457.3335343178332, -457.33353520789814, -457.33491678543237, -457.3349167440008, -457.335501499965, -457.33550173751473, -457.3356056681124]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_62
63	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2C(=NC(=[N:4]2)[H])[H])[H])[H]	(3, 5, 10, 8)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-473.38167946650947, -473.3818557736754, -473.3818557285985, -473.3818368029503, -473.3818368307672, -473.3810893083217, -473.381089495215, -473.3797321957673, -473.3797322818586, -473.3783755102545, -473.3783753634857, -473.3777785463615, -473.37777904896507, -473.3783583710409, -473.3783584401494, -473.3797020464421, -473.3797021542506, -473.3810662272598, -473.3810656264162, -473.3818320511225, -473.3818321449233, -473.38185468696855, -473.3818548674233, -473.3816696771752]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_63
64	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(SC(=[C:4]2[H])[H])[H])[H])[H]	(3, 5, 9, 6)	[-30, -45, -15, -60, 0, -75, 15, -90, 30, -105, 45, -120, 60, -135, 75, -150, 90, -165, 105, 120, 180, 135, 165, 150]	[-784.1012245185847, -784.1008254239338, -784.1006243972801, -784.0994932009456, -784.1000440271645, -784.0979823771868, -784.1006242698595, -784.0973183458646, -784.1012244817837, -784.0980198284418, -784.1008249521547, -784.0995156396468, -784.0994930192439, -784.1008234356495, -784.097982377742, -784.1012265842098, -784.0973174798202, -784.1006336804638, -784.0980197539249, -784.0995151022819, -784.1000420680998, -784.100823276556, -784.100633554763, -784.1012268744034]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_64
65	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(C(=C([O:4]2)[H])[H])[H])[H])[H]	(3, 5, 9, 10)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-461.16224701433214, -461.16200219757576, -461.162002196799, -461.16109839148197, -461.16109843181584, -461.1593515839126, -461.1593516273203, -461.1570726161818, -461.15707262460853, -461.15502022631745, -461.15502022137935, -461.15416480942775, -461.15416480561845, -461.1549938067068, -461.1549937991491, -461.15699605272437, -461.1569961143626, -461.15926072918126, -461.1592607255527, -461.16104221756336, -461.16104121617093, -461.1619892127537, -461.16198922897445, -461.162246415359]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_65
66	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(SC(=[N:4]2)[H])[H])[H])[H]	(3, 5, 8, 9)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-800.1499318426345, -800.1485343860061, -800.1504632758738, -800.1464894844614, -800.1505094476407, -800.150463184822, -800.1445374971172, -800.1499305803161, -800.1436932724267, -800.1485337761944, -800.1445448141134, -800.1464893749774, -800.1465178041448, -800.1445376132158, -800.1485664185268, -800.143693363904, -800.1499491009389, -800.1445448847048, -800.1504653939226, -800.1465175819375, -800.1505099008441, -800.1485668647359, -800.1504652408057, -800.1499489031528]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_66
67	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[C:4](C(=C(N(C2=O)[H])[H])[H])[H])[H])[H]	(3, 5, 9, 7)	[90, 75, 105, 60, 120, 45, 135, 30, 150, 15, 165, 0, 180, -165, -15, -150, -30, -135, -45, -120, -60, -105, -75, -90]	[-554.6685965158075, -554.6694137552639, -554.6694705745238, -554.6713460737642, -554.6715069432332, -554.6730685481122, -554.6731671307612, -554.6734189339003, -554.673377089559, -554.6722504075456, -554.6721691171678, -554.6711639237325, -554.6711649893587, -554.6721692186957, -554.672250178897, -554.6733771271417, -554.6734191609054, -554.6731674983911, -554.6730685057456, -554.6715071836956, -554.6713471713288, -554.6694714273133, -554.6694118233668, -554.6685835860939]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_67
68	[H]c1c(c([n+]2c(c1[H])N([C:1](=[C:2](C2=O)[C:3]3=[N:4]N=NN3[H])[H])[H])[H])[H]	(5, 6, 7, 9)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-750.7525614791007, -750.7517993512299, -750.7517993901655, -750.7495710519229, -750.7495710984356, -750.7461831124169, -750.7461830846412, -750.7425098667396, -750.7425099418414, -750.7396233982848, -750.7396236397219, -750.7378361316711, -750.7378373132556, -750.7369957817261, -750.7369958427845, -750.7367283804977, -750.7367299202865, -750.7364192831187, -750.7364183089086, -750.7356431009473, -750.7356450071021, -750.7345053844012, -750.7345064732118, -750.7338786051045]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_68
